ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0048511	rhythmic process	16/167	203/11520	3.85087705405137e-08	8.6094440769204e-05	7.99781579607165e-05	Npas2/Cry2/Ciart/Lepr/Id3/Per3/Bhlhe41/Dbp/Arntl/Spsb4/Cry1/Nr1d1/Nfil3/Nr1d2/Enpp2/Tef	16
GO:0007623	circadian rhythm	14/167	158/11520	6.58970078600873e-08	8.6094440769204e-05	7.99781579607165e-05	Npas2/Cry2/Ciart/Lepr/Id3/Per3/Bhlhe41/Dbp/Arntl/Spsb4/Cry1/Nr1d1/Nfil3/Nr1d2	14
GO:0032922	circadian regulation of gene expression	9/167	64/11520	3.16932271676912e-07	0.00027604800863059	0.00025643712929367	Npas2/Cry2/Ciart/Id3/Per3/Bhlhe41/Arntl/Cry1/Nr1d1	9
GO:0007622	rhythmic behavior	6/167	31/11520	4.62509711408121e-06	0.00241707575181884	0.00224536293580448	Npas2/Ciart/Lepr/Per3/Nr1d1/Nr1d2	6
GO:0048512	circadian behavior	6/167	31/11520	4.62509711408121e-06	0.00241707575181884	0.00224536293580448	Npas2/Ciart/Lepr/Per3/Nr1d1/Nr1d2	6
GO:0042752	regulation of circadian rhythm	9/167	91/11520	6.45648325710628e-06	0.00281179845846978	0.0026120439282258	Npas2/Cry2/Lepr/Per3/Arntl/Spsb4/Cry1/Nr1d1/Nr1d2	9
GO:0044283	small molecule biosynthetic process	19/167	440/11520	2.02798846039997e-05	0.0075701912100359	0.00703239306719149	Coq10b/Acmsd/Hsd17b7/Trib3/Elovl6/Lepr/Mthfr/Sdsl/Msmo1/Nnmt/Cry1/Acaca/Nr1d1/G6pc/Agxt2/Csad/Snai2/Fads2/G6pdx	19
GO:0046883	regulation of hormone secretion	11/167	166/11520	2.89971177598448e-05	0.00947118358830931	0.00879833599397396	Cry2/Slc16a1/Lepr/Ucp2/Arntl/Cry1/Nr1d1/Pim3/Prkn/Ppard/Cpt1a	11
GO:0050796	regulation of insulin secretion	9/167	116/11520	4.61097558574473e-05	0.0133871991172789	0.0124361516967571	Slc16a1/Lepr/Ucp2/Arntl/Nr1d1/Pim3/Prkn/Ppard/Cpt1a	9
GO:2000323	negative regulation of glucocorticoid receptor signaling pathway	3/167	6/11520	5.79580639949175e-05	0.015144442121872	0.014068557428661	Cry2/Arntl/Cry1	3
GO:0090276	regulation of peptide hormone secretion	9/167	136/11520	0.000158177021622945	0.0273875515817127	0.0254418973744353	Slc16a1/Lepr/Ucp2/Arntl/Nr1d1/Pim3/Prkn/Ppard/Cpt1a	9
GO:0018003	peptidyl-lysine N6-acetylation	3/167	8/11520	0.000158842614570063	0.0273875515817127	0.0254418973744353	Nat8f6/Nat8f2/Nat8f4	3
GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	6/167	57/11520	0.000166980384426972	0.0273875515817127	0.0254418973744353	Lepr/Ucp2/Nr1d1/Pim3/Prkn/Ppard	6
GO:0002791	regulation of peptide secretion	9/167	138/11520	0.000176701118507419	0.0273875515817127	0.0254418973744353	Slc16a1/Lepr/Ucp2/Arntl/Nr1d1/Pim3/Prkn/Ppard/Cpt1a	9
GO:0030073	insulin secretion	9/167	138/11520	0.000176701118507419	0.0273875515817127	0.0254418973744353	Slc16a1/Lepr/Ucp2/Arntl/Nr1d1/Pim3/Prkn/Ppard/Cpt1a	9
GO:0010817	regulation of hormone levels	15/167	351/11520	0.000176760114437383	0.0273875515817127	0.0254418973744353	Hsd17b7/Cry2/Slc16a1/Lepr/Sult1b1/Sult2a8/Ucp2/Arntl/Pcsk4/Cry1/Nr1d1/Pim3/Prkn/Ppard/Cpt1a	15
GO:0046879	hormone secretion	11/167	203/11520	0.000178181544925035	0.0273875515817127	0.0254418973744353	Cry2/Slc16a1/Lepr/Ucp2/Arntl/Cry1/Nr1d1/Pim3/Prkn/Ppard/Cpt1a	11
GO:0090087	regulation of peptide transport	9/167	140/11520	0.0001969996056444	0.0285977760860453	0.0265661456500576	Slc16a1/Lepr/Ucp2/Arntl/Nr1d1/Pim3/Prkn/Ppard/Cpt1a	9
GO:0009914	hormone transport	11/167	209/11520	0.000229671561501736	0.0315858836949493	0.029341973452798	Cry2/Slc16a1/Lepr/Ucp2/Arntl/Cry1/Nr1d1/Pim3/Prkn/Ppard/Cpt1a	11
GO:0050795	regulation of behavior	5/167	40/11520	0.000263190378924453	0.0343858230064797	0.0319430007263046	Npas2/Lepr/Per3/Nr1d1/Arrdc3	5
GO:0035773	insulin secretion involved in cellular response to glucose stimulus	6/167	64/11520	0.000317354216056069	0.0394879317406909	0.0366826477305913	Lepr/Ucp2/Nr1d1/Pim3/Prkn/Ppard	6
GO:0042754	negative regulation of circadian rhythm	3/167	10/11520	0.00033317140193092	0.0395716760566134	0.036760442720225	Cry2/Lepr/Cry1	3
GO:0007610	behavior	15/167	378/11520	0.000391516854991487	0.0444797192214242	0.0413198108746165	Npas2/Ciart/Slc16a1/Lepr/Per3/Atp2b2/Sgk1/Nr1d1/Arrdc3/Nr1d2/Celsr1/Itga5/Prkn/Crebrf/Cpt1a	15
GO:0009755	hormone-mediated signaling pathway	8/167	124/11520	0.000436492808127862	0.0463287519802297	0.0430374854740104	Cry2/Arntl/Sgk1/Cry1/Nr1d1/Nr1d2/Crebrf/Ppard	8
GO:2000322	regulation of glucocorticoid receptor signaling pathway	3/167	11/11520	0.000453240595775981	0.0463287519802297	0.0430374854740104	Cry2/Arntl/Cry1	3
GO:0046888	negative regulation of hormone secretion	5/167	45/11520	0.000460982606768455	0.0463287519802297	0.0430374854740104	Cry2/Ucp2/Cry1/Pim3/Prkn	5
GO:0042593	glucose homeostasis	10/167	197/11520	0.00058820112717957	0.0569247979748229	0.0528807719016019	Cry2/Slc16a1/Lepr/Ucp2/Cry1/Nr1d1/G6pc/Pim3/Prkn/Ppard	10
GO:0033500	carbohydrate homeostasis	10/167	198/11520	0.000611876430295221	0.0571011825843361	0.0530446258744654	Cry2/Slc16a1/Lepr/Ucp2/Cry1/Nr1d1/G6pc/Pim3/Prkn/Ppard	10
GO:0030072	peptide hormone secretion	9/167	166/11520	0.000691058521974921	0.0614062641610602	0.0570438677686083	Slc16a1/Lepr/Ucp2/Arntl/Nr1d1/Pim3/Prkn/Ppard/Cpt1a	9
