ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0035634	response to stilbenoid	6/43	9/2553	1.29006479695656e-09	2.12473672058745e-06	1.82238627106916e-06	Slc22a7/Hsd3b5/Cyp2b9/Cyp2a5/Cd36/Gsta2	6
GO:0001676	long-chain fatty acid metabolic process	7/43	27/2553	1.60314326561913e-07	0.000132018847923735	0.000113232540129519	Acot2/Cyp2b9/Cyp2a5/Cyp2a22/Acot4/Cyp4a10/Cd36	7
GO:0014070	response to organic cyclic compound	10/43	124/2553	2.49000143583956e-05	0.00946309829989342	0.00811649756716004	Inhba/Slc22a7/Gna14/Hsd3b5/Ncor2/Cyp2b9/Cyp2a5/Cdh1/Cd36/Gsta2	10
GO:0032787	monocarboxylic acid metabolic process	10/43	124/2553	2.49000143583956e-05	0.00946309829989342	0.00811649756716004	Mthfd1l/Acot2/Abcd2/Cyp2b9/Cyp2a5/Cyp2a22/Acot4/Mpc1/Cyp4a10/Cd36	10
GO:0033559	unsaturated fatty acid metabolic process	5/43	23/2553	2.8728288706416e-05	0.00946309829989342	0.00811649756716004	Abcd2/Cyp2b9/Cyp2a5/Cyp2a22/Cyp4a10	5
GO:0006631	fatty acid metabolic process	8/43	89/2553	8.47775938235077e-05	0.0232714495045529	0.0199599177037101	Acot2/Abcd2/Cyp2b9/Cyp2a5/Cyp2a22/Acot4/Cyp4a10/Cd36	8
GO:0019369	arachidonic acid metabolic process	4/43	16/2553	0.000109733082957395	0.0258186268044041	0.0221446311772667	Cyp2b9/Cyp2a5/Cyp2a22/Cyp4a10	4
GO:0055114	oxidation-reduction process	11/43	182/2553	0.000136819418584476	0.028167697801079	0.0241594289132062	Mthfd1l/Moxd1/Abcd2/Hsd3b5/Cyp2b9/Cyp2a5/Cyp2a22/Cyp4a10/Cd36/Cyp3a11/Hsd17b2	11
GO:0019752	carboxylic acid metabolic process	11/43	192/2553	0.00022178410125496	0.0374891550244387	0.0321544409566336	Mthfd1l/Acot2/Abcd2/Cyp2b9/Cyp2a5/Cyp2a22/Acot4/Slc7a7/Mpc1/Cyp4a10/Cd36	11
GO:0019373	epoxygenase P450 pathway	3/43	8/2553	0.000235165993928005	0.0374891550244387	0.0321544409566336	Cyp2b9/Cyp2a5/Cyp2a22	3
GO:0044281	small molecule metabolic process	15/43	346/2553	0.000291967887910107	0.0374891550244387	0.0321544409566336	Mthfd1l/Moxd1/Chpt1/Acot2/Abcd2/Ncor2/Cyp2b9/Cyp2a5/Cyp2a22/Nudt7/Acot4/Slc7a7/Mpc1/Cyp4a10/Cd36	15
GO:0043436	oxoacid metabolic process	11/43	200/2553	0.000318958676947039	0.0374891550244387	0.0321544409566336	Mthfd1l/Acot2/Abcd2/Cyp2b9/Cyp2a5/Cyp2a22/Acot4/Slc7a7/Mpc1/Cyp4a10/Cd36	11
