ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0035634	response to stilbenoid	6/43	9/2669	9.89531013510176e-10	1.69407709512942e-06	1.47179718114724e-06	Slc22a7/Hsd3b5/Cyp2b9/Cyp2a5/Cd36/Gsta2	6
GO:0001676	long-chain fatty acid metabolic process	6/43	28/2669	3.53383665810639e-06	0.00302496417933907	0.00262805852521281	Cyp2b9/Cyp2a5/Cyp2a22/Acot4/Cyp4a10/Cd36	6
GO:0032787	monocarboxylic acid metabolic process	11/43	139/2669	7.052689028041e-06	0.00402473453866873	0.00349664898127086	Mthfd1l/Acot2/Abcd2/Cyp2b9/Cyp2a5/Cyp2a22/Nudt7/Acot4/Mpc1/Cyp4a10/Cd36	11
GO:0006631	fatty acid metabolic process	9/43	99/2669	1.82542557185189e-05	0.00781282144752611	0.00678770087638612	Acot2/Abcd2/Cyp2b9/Cyp2a5/Cyp2a22/Nudt7/Acot4/Cyp4a10/Cd36	9
GO:0033559	unsaturated fatty acid metabolic process	5/43	24/2669	2.89930694606229e-05	0.00992722698331727	0.00862467518902318	Abcd2/Cyp2b9/Cyp2a5/Cyp2a22/Cyp4a10	5
GO:0014070	response to organic cyclic compound	10/43	138/2669	4.36280090620347e-05	0.0105174293586253	0.00913743709034529	Inhba/Slc22a7/Gna14/Hsd3b5/Ncor2/Cyp2b9/Cyp2a5/Cdh1/Cd36/Gsta2	10
GO:0006629	lipid metabolic process	15/43	309/2669	4.6939445701986e-05	0.0105174293586253	0.00913743709034529	Chpt1/Acot2/Abcd2/Hsd3b5/Cyp2b9/Cyp2a5/Cyp2a22/Nudt7/Acss3/Acot4/Cyp4a10/Cd36/Cyp3a11/Gal3st1/Hsd17b2	15
GO:0019752	carboxylic acid metabolic process	12/43	204/2669	5.30998806908686e-05	0.0105174293586253	0.00913743709034529	Mthfd1l/Acot2/Abcd2/Cyp2b9/Cyp2a5/Cyp2a22/Nudt7/Acot4/Slc7a7/Mpc1/Cyp4a10/Cd36	12
GO:0043436	oxoacid metabolic process	12/43	206/2669	5.85373765414787e-05	0.0105174293586253	0.00913743709034529	Mthfd1l/Acot2/Abcd2/Cyp2b9/Cyp2a5/Cyp2a22/Nudt7/Acot4/Slc7a7/Mpc1/Cyp4a10/Cd36	12
GO:0006082	organic acid metabolic process	12/43	207/2669	6.14335827022507e-05	0.0105174293586253	0.00913743709034529	Mthfd1l/Acot2/Abcd2/Cyp2b9/Cyp2a5/Cyp2a22/Nudt7/Acot4/Slc7a7/Mpc1/Cyp4a10/Cd36	12
GO:0019369	arachidonic acid metabolic process	4/43	17/2669	0.000119483843066041	0.0185960308480966	0.0161560450002216	Cyp2b9/Cyp2a5/Cyp2a22/Cyp4a10	4
GO:0006268	DNA unwinding involved in DNA replication	2/43	2/2669	0.000253619911662752	0.0361831073972193	0.031435520629778	Mcm2/Mcm5	2
GO:0044281	small molecule metabolic process	15/43	360/2669	0.000278323720658913	0.0366530930590815	0.0318438394567648	Mthfd1l/Moxd1/Chpt1/Acot2/Abcd2/Ncor2/Cyp2b9/Cyp2a5/Cyp2a22/Nudt7/Acot4/Slc7a7/Mpc1/Cyp4a10/Cd36	15
GO:0019373	epoxygenase P450 pathway	3/43	9/2669	0.00030603380554434	0.037423562506565	0.0325132155815152	Cyp2b9/Cyp2a5/Cyp2a22	3
GO:0006790	sulfur compound metabolic process	6/43	63/2669	0.000418626229896671	0.046254527219173	0.0401854691101153	Acot2/Nudt7/Acot4/Mpc1/Sulf2/Gsta2	6
GO:0000038	very long-chain fatty acid metabolic process	3/43	10/2669	0.000432285301113767	0.046254527219173	0.0401854691101153	Acot2/Abcd2/Acot4	3
GO:0006805	xenobiotic metabolic process	4/43	24/2669	0.000491376110753882	0.0494844648006263	0.0429916064702932	Cyp2b9/Cyp2a5/Cyp2a22/Gsta2	4
