ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006631	fatty acid metabolic process	56/482	364/11520	1.05418838378666e-17	5.01055738813799e-14	4.71055756755197e-14	Fmo1/Ephx1/Ptgds/Crat/Hao2/Hadh/Cyp2u1/Acadm/Decr1/Acnat2/Cyp4a12a/Cyp4a12b/Cyp4a14/Cyp4a10/Cyp4a32/Mfsd2a/Abhd1/Mgll/Pparg/Cyp2b10/Cyp2b13/Cyp2b9/Cyp2a4/Ech1/Abhd2/Nucb2/Acsm2/Irs2/Hpgd/Ces1d/Ces2b/Nudt7/Apoa4/Cyp1a2/Elovl5/Scap/Acox1/Acot2/Acot1/Acot4/Acot3/Acot5/Acot6/Pnpla3/Abcd2/Eci1/Cyp4f14/Lipg/Gstp1/Gstp2/Cyp2c55/Cyp2c39/Cyp2c70/Gk/Hsd17b10/Acot9	56
GO:0001676	long-chain fatty acid metabolic process	24/482	90/11520	1.58803405102203e-13	3.77396292225385e-10	3.54800239294132e-10	Ephx1/Cyp2u1/Cyp4a12a/Cyp4a12b/Cyp4a14/Cyp4a10/Cyp4a32/Mgll/Cyp2b10/Cyp2b13/Cyp2b9/Cyp2a4/Acot1/Acot4/Acot3/Acot5/Pnpla3/Cyp4f14/Gstp1/Gstp2/Cyp2c55/Cyp2c39/Cyp2c70/Acot9	24
GO:0006690	icosanoid metabolic process	23/482	94/11520	3.6776493362951e-12	4.36996682385266e-09	4.1083214296244e-09	Mgst3/Ephx1/Ptgds/Cyp2u1/Cyp4a12a/Cyp4a12b/Cyp4a14/Cyp4a10/Cyp4a32/Mgll/Cyp2b10/Cyp2b13/Cyp2b9/Cyp2a4/Hpgd/Ces2b/Acox1/Cyp4f14/Gstp1/Gstp2/Cyp2c55/Cyp2c39/Cyp2c70	23
GO:0033559	unsaturated fatty acid metabolic process	23/482	94/11520	3.6776493362951e-12	4.36996682385266e-09	4.1083214296244e-09	Ephx1/Ptgds/Cyp2u1/Cyp4a12a/Cyp4a12b/Cyp4a14/Cyp4a10/Cyp4a32/Mgll/Cyp2b10/Cyp2b13/Cyp2b9/Cyp2a4/Hpgd/Ces2b/Acox1/Abcd2/Cyp4f14/Gstp1/Gstp2/Cyp2c55/Cyp2c39/Cyp2c70	23
GO:0120254	olefinic compound metabolic process	24/482	114/11520	3.90369932199419e-11	3.71085657548768e-08	3.48867444670849e-08	Ephx1/Hsd3b4/Cyp2u1/Cyp4a12a/Cyp4a12b/Cyp4a14/Cyp4a10/Cyp4a32/Mgll/Cyp2b10/Cyp2b13/Cyp2b9/Cyp2a4/Cyp1a2/Bmp5/Rdh16/Cyp46a1/Cyp4f14/Gstp1/Gstp2/Cyp2c55/Cyp2c39/Cyp2c70/Cyp17a1	24
GO:0019369	arachidonic acid metabolic process	16/482	52/11520	1.77494550922833e-10	1.40605266756038e-07	1.32186731345163e-07	Ephx1/Cyp2u1/Cyp4a12a/Cyp4a12b/Cyp4a14/Cyp4a10/Cyp4a32/Mgll/Cyp2b10/Cyp2b13/Cyp2b9/Cyp2a4/Cyp4f14/Cyp2c55/Cyp2c39/Cyp2c70	16
GO:0035634	response to stilbenoid	10/482	21/11520	3.49127082715429e-09	2.07425128018304e-06	1.95005850806184e-06	Hsd3b4/Mup1/Cyp2b9/Cyp2a4/Saa3/Apoa4/Gsta1/Gsta2/Ly6d/Slc22a7	10
GO:0051791	medium-chain fatty acid metabolic process	10/482	21/11520	3.49127082715429e-09	2.07425128018304e-06	1.95005850806184e-06	Crat/Acadm/Cyp4a12a/Cyp4a12b/Cyp4a14/Cyp4a10/Cyp4a32/Abhd1/Abhd2/Ces1d	10
GO:0006805	xenobiotic metabolic process	19/482	94/11520	8.88133664644301e-09	4.69033256450485e-06	4.40950573849714e-06	Aox1/Fmo1/Nceh1/Fmo5/Gstm2/Cyp2u1/Cyp2b10/Cyp2b13/Cyp2b9/Cyp2a4/Cyp1a2/Gsta1/Gsta2/Cyp46a1/Gstp1/Gstp2/Cyp2c55/Cyp2c39/Cyp2c70	19
GO:0071466	cellular response to xenobiotic stimulus	21/482	129/11520	8.06637194066404e-08	3.83394658339762e-05	3.60439461980198e-05	Aox1/Fmo1/Nceh1/Fmo5/Gstm3/Gstm2/Cyp2u1/Cyp2b10/Cyp2b13/Cyp2b9/Cyp2a4/Cyp1a2/Gsta1/Gsta2/Cyp46a1/Tfrc/Gstp1/Gstp2/Cyp2c55/Cyp2c39/Cyp2c70	21
