geneID	GeneSymbol	control	TEADap	TEADsf	CLUSTER	MEM.SHIP
ENSG00000149527	PLCH2	1.04866763272338	-0.94292926193983	-0.105738370783546	1	0.856035259485047
ENSG00000011021	CLCN6	1.10225387374297	-0.849082132100507	-0.253171741642462	1	0.940955571292295
ENSG00000130772	MED18	-1.13232307240562	0.762078214342839	0.37024485806278	2	0.842166935023952
ENSG00000090020	SLC9A1	1.15130334143199	-0.65230323303305	-0.499000108398943	1	0.812228424742424
ENSG00000142627	EPHA2	1.15364575728063	-0.534089986960774	-0.61955577031986	1	0.763067732106432
ENSG00000197312	DDI2	1.06011632549444	-0.926435548977976	-0.133680776516464	1	0.870803853268632
ENSG00000122420	PTGFR	1.1265575018988	-0.343845056666463	-0.782712445232334	1	0.705688011143901
ENSG00000170989	S1PR1	0.850640556348431	-1.10156578309194	0.250925226743506	1	0.728231050503974
ENSG00000069702	TGFBR3	1.15320112060852	-0.627545447883254	-0.525655672725268	1	0.800577690875921
ENSG00000198198	SZT2	1.01737730294742	-0.981665995101892	-0.035711307845532	1	0.823627364554743
ENSG00000254154	CRYZL2P-SEC16B	1.08478297139299	-0.885078556844274	-0.199704414548718	1	0.911108375555928
ENSG00000058085	LAMC2	-0.523876735354813	1.15309765457032	-0.629220919215507	2	0.65343413550866
ENSG00000203697	CAPN8	-1.14718422315727	0.687505537496254	0.459678685661016	2	0.807218105845707
ENSG00000162772	ATF3	0.909443793655053	-1.07090692556218	0.161463131907129	1	0.753843305414186
ENSG00000117707	PROX1	0.928419274810835	-1.05879204348534	0.130372768674507	1	0.763427573381259
ENSG00000198929	NOS1AP	1.11257787795975	-0.823922735623594	-0.288655142336159	1	0.931996823103787
ENSG00000162702	ZNF281	1.1415940195171	-0.721037886193981	-0.420556133323124	1	0.850275981865379
ENSG00000163874	ZC3H12A	1.15460110142884	-0.590423905258134	-0.564177196170707	1	0.784602763563546
ENSG00000143633	C1orf131	-0.825875037696063	1.11182793699876	-0.285952899302694	2	0.737316353568766
ENSG00000162366	PDZK1IP1	1.00362954467107	-0.00729904680448819	-0.996330497866586	1	0.632477736522374
ENSG00000143278	F13B	1.07262869876089	-0.906585541813622	-0.166043156947271	1	0.889575342698246
ENSG00000049239	H6PD	1.14043895138643	-0.726901474086369	-0.413537477300056	1	0.854022517066837
ENSG00000116690	PRG4	0.941935605362344	-1.04938632461231	0.107450719249969	1	0.770765555088181
ENSG00000158887	MPZ	-1.12730970143481	0.780171888818843	0.347137812615967	2	0.851489633263111
ENSG00000142871	CCN1	1.12641896015384	-0.343243017509408	-0.783175942644427	1	0.705532413081265
ENSG00000154309	DISP1	-1.14308240059894	0.713040207648358	0.430042192950583	2	0.818501009377805
ENSG00000143384	MCL1	1.1220308385895	-0.797204110684924	-0.324826727904579	1	0.908024052320524
ENSG00000126705	AHDC1	1.10994290391138	-0.83068881184182	-0.279254092069561	1	0.936980549811272
ENSG00000126709	IFI6	-0.831412985036605	1.10965485964254	-0.278241874605931	2	0.739412880191846
ENSG00000187608	ISG15	-0.920336411737954	1.06410170131527	-0.143765289577319	2	0.778635194347163
ENSG00000143382	ADAMTSL4	1.10979769917753	-0.831054240945139	-0.278743458232393	1	0.937214199086631
ENSG00000179023	KLHDC7A	1.14955935354406	-0.669039792990503	-0.480519560553557	1	0.820641371020336
ENSG00000197747	S100A10	-1.1446400900812	0.70403677949062	0.440603310590579	2	0.814442319153037
ENSG00000143850	PLEKHA6	1.11680716485966	-0.812482934972697	-0.304324229886959	1	0.921987077641681
ENSG00000117009	KMO	1.12661683362398	-0.782513532277654	-0.344103301346322	1	0.895177629360056
ENSG00000116128	BCL9	1.00104180761541	-0.998954926075998	-0.00208688153941568	1	0.80988106825324
ENSG00000142798	HSPG2	1.12271655698278	-0.795090282092844	-0.327626274889934	1	0.906127375480946
ENSG00000197956	S100A6	-1.14048748007545	0.726660589652338	0.413826890423114	2	0.824811343316337
ENSG00000188643	S100A16	-1.06821469279363	0.913828332878814	0.154386359914814	2	0.88401537685119
ENSG00000189171	S100A13	-0.978840724300311	1.01989479823396	-0.0410540739336497	2	0.812911100365106
ENSG00000142677	IL22RA1	-1.01178446453801	0.024001012189565	0.987783452348443	2	0.637030968918547
ENSG00000014914	MTMR11	-1.14847661090763	0.677925843994318	0.470550766913316	2	0.803162695073204
ENSG00000265972	TXNIP	1.0628123116651	-0.922331331064094	-0.140480980601007	1	0.87459136999357
ENSG00000163191	S100A11	-1.00297960942573	0.996993515402458	0.00598609402327411	2	0.830094253853822
ENSG00000175793	SFN	-1.14248723509421	0.716302875214762	0.426184359879448	2	0.81999383718733
ENSG00000158615	PPP1R15B	1.13291083387326	-0.759806863451649	-0.373103970421608	1	0.877013661007949
ENSG00000117713	ARID1A	1.0338237472986	-0.962340144688662	-0.0714836026099343	1	0.83945796549643
ENSG00000134250	NOTCH2	1.09696767561096	-0.86072803550739	-0.236239640103575	1	0.934365751739082
ENSG00000117479	SLC19A2	1.15401390670733	-0.611487779106111	-0.542526127601215	1	0.793466104516496
ENSG00000099260	PALMD	1.11482771541907	-0.296896346397668	-0.817931369021399	1	0.693910362213028
ENSG00000127481	UBR4	1.03933027405584	-0.955376550779339	-0.0839537232765002	1	0.845316700424812
ENSG00000177000	MTHFR	1.14884804069693	-0.674978157707989	-0.473869882988941	1	0.823742766354707
ENSG00000196660	SLC30A10	1.15118347417049	-0.653581842852423	-0.497601631318064	1	0.812854928118816
ENSG00000143365	RORC	0.89458942797196	-1.07957812869856	0.184988700726601	1	0.746845265043644
ENSG00000049246	PER3	1.00780099652258	-0.992012026045737	-0.015788970476847	1	0.815363078477965
ENSG00000280587	LINC01348	1.13005640433473	-0.770526115214073	-0.359530289120653	1	0.885331231355855
ENSG00000171819	ANGPTL7	1.0665730154635	-0.916452923292694	-0.150120092170806	1	0.880100125600268
ENSG00000162616	DNAJB4	1.07748500990204	-0.179201770016433	-0.898283239885606	1	0.667023410586249
ENSG00000169174	PCSK9	0.973950112330196	-1.02415834333904	0.0502082310088416	1	0.790268737741874
ENSG00000065526	SPEN	1.05472948297999	-0.934377380482409	-0.120352102497584	1	0.863605691387037
ENSG00000157933	SKI	1.03802780019087	-0.957047819470604	-0.0809799807202709	1	0.843902160949387
ENSG00000169905	TOR1AIP2	1.15470034918159	-0.57677772378066	-0.577922625400933	1	0.779115229624425
ENSG00000158747	NBL1	-1.11658766029357	0.813095709378672	0.303491950914896	2	0.868668772346418
ENSG00000117834	SLC5A9	0.800894124064274	-1.12081256060178	0.319918436537505	1	0.710047528754104
ENSG00000069424	KCNAB2	0.78917862014867	-1.12458782317226	0.335409203023589	1	0.706114697488693
ENSG00000158286	RNF207	1.03292813143467	-0.963447965279907	-0.0694801661547609	1	0.83853418521539
ENSG00000178295	GEN1	1.12646090118434	-0.783035770312185	-0.343425130872159	1	0.895619943339857
ENSG00000171132	PRKCE	0.993236847081737	0.0133917961600207	-1.00662864324176	1	0.628587161410506
ENSG00000136720	HS6ST1	1.13493044494478	-0.751719568019725	-0.383210876925059	1	0.871025401474442
ENSG00000115221	ITGB6	-0.597516875239586	1.1544629355938	-0.55694606035421	2	0.670137989468256
ENSG00000162804	SNED1	1.03956522949913	-0.955073437318011	-0.0844917921811205	1	0.845573842365334
ENSG00000173166	RAPH1	1.09735877559935	-0.859891193827849	-0.237467581771505	1	0.935011634307952
ENSG00000073734	ABCB11	1.00459288252093	-0.99534294544766	-0.00924993707327345	1	0.81272731104653
ENSG00000115009	CCL20	0.801672780295541	0.318879223827578	-1.12055200412312	1	0.574831019345843
ENSG00000187605	TET3	1.1475022798565	-0.685236063990222	-0.462266215866277	1	0.829255890712125
ENSG00000115963	RND3	1.10439033418683	-0.260233710191951	-0.844156623994879	1	0.685168584266688
ENSG00000068654	POLR1A	1.05084702652087	-0.939899562193529	-0.110947464327337	1	0.85869683966202
ENSG00000059728	MXD1	1.09494242574171	-0.86500201961745	-0.22994040612426	1	0.930792168805242
ENSG00000077044	DGKD	1.10744423317585	-0.836874818860326	-0.270569414315527	1	0.940247287663156
ENSG00000169432	SCN9A	1.14977662125286	-0.482637072611589	-0.66713954864127	1	0.745597752565009
ENSG00000128655	PDE11A	1.07535546642892	-0.901968778418811	-0.173386688010111	1	0.894106142649161
ENSG00000179833	SERTAD2	1.1308243504603	-0.767716936183826	-0.363107414276478	1	0.88310798092823
ENSG00000144136	SLC20A1	1.15265368510012	-0.516811200330224	-0.635842484769894	1	0.756995126667934
ENSG00000075426	FOSL2	1.15302184631251	-0.522608544316732	-0.630413301995784	1	0.759007867660052
ENSG00000153234	NR4A2	1.11998395243973	-0.803357872984615	-0.316626079455114	1	0.913615882256727
ENSG00000118263	KLF7	1.04852268578751	-0.105393663260062	-0.943129022527446	1	0.651639367563112
ENSG00000021826	CPS1	1.06143126570924	-0.924444919460489	-0.136986346248746	1	0.872634962508501
ENSG00000152518	ZFP36L2	1.1191948191877	-0.805671011444101	-0.313523807743601	1	0.915736946111344
ENSG00000079308	TNS1	1.15442045334635	-0.555186088285701	-0.599234365060646	1	0.770799809821001
ENSG00000132326	PER2	1.14072073237	-0.725496300307102	-0.415224432062899	1	0.853115967764731
ENSG00000144837	PLA1A	-1.10461875148806	0.843622026337372	0.260996725150688	2	0.882950622714025
ENSG00000163637	PRICKLE2	1.15281349469018	-0.519259701532083	-0.6335537931581	1	0.757842233196265
ENSG00000244503	EEF1A1P45	1.15128338722511	-0.498765678337208	-0.652517708887898	1	0.750880942379437
ENSG00000113916	BCL6	1.14416806421662	-0.706841520286506	-0.437326543930113	1	0.841580811778545
ENSG00000144908	ALDH1L1	0.652819157076388	-1.1512552375045	0.49843608042811	1	0.667135928344867
ENSG00000134109	EDEM1	1.13840875667803	-0.736593526849564	-0.401815229828467	1	0.860431946092781
ENSG00000187288	CIDEC	-1.13505708724681	0.751196876544725	0.383860210702081	2	0.83669536639844
ENSG00000159650	UROC1	0.720850019722885	-1.14163012812369	0.420780108400808	1	0.685230436017864
ENSG00000244062		0.794324658110844	-1.12296275144288	0.328638093332039	1	0.707827658887292
ENSG00000114019	AMOTL2	1.10989383942637	-0.279081465365339	-0.830812374061031	1	0.689616415423896
ENSG00000090512	FETUB	0.796317650721653	-1.12231947698577	0.326001826264116	1	0.708497127503949
ENSG00000113905	HRG	0.961849981935741	-1.03421827593314	0.072368293997401	1	0.782501846676004
ENSG00000114841	DNAH1	1.12867975657006	-0.775435840661643	-0.35324391590842	1	0.889293134773329
ENSG00000173702	MUC13	-0.987078887117848	1.01243871408707	-0.0253598269692235	2	0.818540837190299
ENSG00000164080	RAD54L2	1.14662076561482	-0.691401935831577	-0.455218829783245	1	0.832670321298266
ENSG00000065534	MYLK	1.03233154061589	-0.964182168096254	-0.0681493725196391	1	0.837923151639656
ENSG00000196428	TSC22D2	1.154692433238	-0.573599422365263	-0.581093010872737	1	0.777863832615644
ENSG00000144655	CSRNP1	1.14465121715215	-0.703969800639643	-0.440681416512511	1	0.839882445921018
ENSG00000157103	SLC6A1	0.857899882108354	-1.09828232799571	0.24038244588736	1	0.731117947249703
ENSG00000061938	TNK2	1.10543578661459	-0.841696770137137	-0.263739016477452	1	0.941542807848976
ENSG00000231574	LINC02015	1.15424592182857	-0.605181185316083	-0.549064736512488	1	0.790759516294798
ENSG00000163817	SLC6A20	-1.1355461071271	0.74916015051745	0.386385956609652	2	0.835684317804576
ENSG00000144802	NFKBIZ	1.00839275972457	-0.991390418825504	-0.0170023408990707	1	0.815856203860095
ENSG00000188338	SLC38A3	0.833902468638759	-1.10865565428403	0.274753185645273	1	0.72181808749669
ENSG00000157087	ATP2B2	1.01877999114339	-0.980097438931587	-0.0386825522118027	1	0.824891721260182
ENSG00000144711	IQSEC1	1.05699158452267	-0.931083164996984	-0.125908419525686	1	0.86657103487802
ENSG00000109819	PPARGC1A	1.15412181721805	-0.608717239192058	-0.54540457802599	1	0.792271304101166
ENSG00000138771	SHROOM3	1.08586781183166	-0.883034363752836	-0.202833448078824	1	0.913189427378311
ENSG00000124875	CXCL6	-0.623043306423576	1.15346154342996	-0.530418237006382	2	0.676332879979968
ENSG00000134853	PDGFRA	-0.816953867334198	1.11518747128896	-0.298233603954758	2	0.734006049461643
ENSG00000187758	ADH1A	1.14338608870612	-0.432046386265631	-0.71133970244049	1	0.730004753748096
ENSG00000154447	SH3RF1	1.14462352240774	-0.440487089904583	-0.704136432503162	1	0.732511677483575
ENSG00000151014	NOCT	1.14444836040278	-0.439263799717064	-0.705184560685719	1	0.732146149432676
ENSG00000134962	KLB	0.997246701682133	-1.00273074216565	0.0054840404835216	1	0.806917756001013
ENSG00000170509	HSD17B13	0.86760889091887	-1.09368406273739	0.226075171818517	1	0.735087248904998
ENSG00000137628	DDX60	-1.14272069009403	0.715033823195462	0.427686866898565	2	0.819411784072537
ENSG00000170185	USP38	1.14016345076514	-0.41190309485841	-0.728260355906728	1	0.724160660533842
ENSG00000184985	SORCS2	1.10447059158436	-0.843968965847531	-0.260501625736833	1	0.941702301645381
ENSG00000081041	CXCL2	1.11981846112556	-0.803845616925676	-0.315972844199883	1	0.914062535332788
ENSG00000172493	AFF1	1.11574785556455	-0.815420121895747	-0.300327733668801	1	0.924651796006966
ENSG00000138670	RASGEF1B	1.14584976719968	-0.44934805221013	-0.696501714989555	1	0.735182271956703
ENSG00000109758	HGFAC	1.03003571495929	-0.966980045534391	-0.0630556694248942	1	0.835603189190068
ENSG00000169429	CXCL8	1.14829003126154	-0.679370977631726	-0.468919053629816	1	0.826078895505864
ENSG00000145217	SLC26A1	0.995465606931731	-1.0044735350654	0.0090079281336679	1	0.805553772921978
ENSG00000154553	PDLIM3	-1.10080279420785	0.852353224715795	0.24844956949205	2	0.886162920625676
ENSG00000068078	FGFR3	1.06260050087176	-0.922657033512795	-0.139943467358966	1	0.874289062971133
ENSG00000112964	GHR	1.13579847392676	-0.74809737782291	-0.38770109610385	1	0.868418966981124
ENSG00000164171	ITGA2	-0.931069081255398	1.05700117066499	-0.125932089409594	2	0.784282216379434
ENSG00000168621	GDNF	1.13456606133338	-0.381353233826998	-0.75321282750638	1	0.715641557257194
ENSG00000113369	ARRDC3	1.13921220588249	-0.732844157561696	-0.406368048320791	1	0.857919316993707
ENSG00000173930	SLCO4C1	1.08539984342118	-0.883918890887206	-0.20148095253398	1	0.912289109430174
