file_name	condition	well	replicate	n_nuclei	LD_total	LD_per_cell	Cyt_area	LD_per_um2	LD_intensity	LD_int_per_um2
siNT_1_1.lsm	siNT	3	1	21	103	4.90476	7422.73434	0.01388	7.59388	0.00102
siNT_1_2.lsm	siNT	3	1	15	45	3	4246.04672	0.0106	7.77023	0.00183
siNT_1_3.lsm	siNT	3	1	44	133	3.02273	20703.91897	0.00642	6.35413	0.00031
siNT_1_4.lsm	siNT	3	1	39	137	3.51282	16888.40261	0.00811	7.29117	0.00043
siNT_1_5.lsm	siNT	3	1	28	227	8.10714	17731.07069	0.0128	7.82259	0.00044
siNT_2_1.lsm	siNT	4	2	58	13	0.22414	11952.03454	0.00109	4.67565	0.00039
siNT_2_2.lsm	siNT	4	2	22	34	1.54545	6613.77027	0.00514	7.08964	0.00107
siNT_2_3.lsm	siNT	4	2	18	10	0.55556	6937.45363	0.00144	5.58918	0.00081
siNT_2_4.lsm	siNT	4	2	29	35	1.2069	8801.6803	0.00398	5.85717	0.00067
siNT_2_5.lsm	siNT	4	2	29	32	1.10345	12518.03249	0.00256	5.27219	0.00042
siNT_3_1.lsm	siNT	5	3	58	54	0.93103	20090.56845	0.00269	4.9818	0.00025
siNT_3_10.lsm	siNT	5	3	23	109	4.73913	20227.5631	0.00539	6.0137	0.0003
siNT_3_2.lsm	siNT	5	3	38	182	4.78947	25727.44508	0.00707	7.0441	0.00027
siNT_3_3.lsm	siNT	5	3	31	155	5	23501.45347	0.0066	6.89341	0.00029
siNT_3_4.lsm	siNT	5	3	23	136	5.91304	14807.75359	0.00918	7.09857	0.00048
siNT_3_5.lsm	siNT	5	3	39	135	3.46154	15226.09458	0.00887	7.25623	0.00048
siNT_3_6.lsm	siNT	5	3	21	48	2.28571	10249.90068	0.00468	5.70316	0.00056
siNT_3_7.lsm	siNT	5	3	34	120	3.52941	16864.09853	0.00712	6.55817	0.00039
siNT_3_8.lsm	siNT	5	3	33	158	4.78788	12661.42723	0.01248	7.79071	0.00062
siNT_3_9.lsm	siNT	5	3	31	133	4.29032	19995.01494	0.00665	7.19218	0.00036
tead1_1_1.lsm	siTead1	3	1	43	115	2.67442	18913.26966	0.00608	6.32553	0.00033
tead1_1_2.lsm	siTead1	3	1	22	78	3.54545	16328.51971	0.00478	6.14571	0.00038
tead1_1_3.lsm	siTead1	3	1	45	84	1.86667	18307.03866	0.00459	6.07793	0.00033
tead1_1_4.lsm	siTead1	3	1	46	38	0.82609	20126.94652	0.00189	4.81377	0.00024
tead1_1_5.lsm	siTead1	3	1	42	37	0.88095	26031.91458	0.00142	5.60079	0.00022
tead1_2_1.lsm	siTead1	4	2	28	30	1.07143	9836.48701	0.00305	5.34822	0.00054
tead1_2_2.lsm	siTead1	4	2	22	30	1.36364	10441.38098	0.00287	5.11725	0.00049
tead1_2_3.lsm	siTead1	4	2	28	20	0.71429	9860.5807	0.00203	5.1333	0.00052
tead1_2_4.lsm	siTead1	4	2	17	38	2.23529	8948.10202	0.00425	4.97838	0.00056
tead1_2_5.lsm	siTead1	4	2	25	10	0.4	16061.23593	0.00062	4.68028	0.00029
tead1_2_6.lsm	siTead1	4	2	36	10	0.27778	16645.62651	0.0006	4.96552	0.0003
tead1_3_1.lsm	siTead1	5	3	51	4	0.07843	18340.66123	0.00022	3.81239	0.00021
tead1_3_10.lsm	siTead1	5	3	16	24	1.5	6996.69695	0.00343	5.53788	0.00079
tead1_3_2.lsm	siTead1	5	3	27	20	0.74074	11061.88494	0.00181	5.38444	0.00049
tead1_3_3.lsm	siTead1	5	3	53	44	0.83019	22053.53171	0.002	5.31892	0.00024
tead1_3_4.lsm	siTead1	5	3	51	2	0.03922	14545.79078	0.00014	3.5381	0.00024
tead1_3_5.lsm	siTead1	5	3	34	3	0.08824	8319.91523	0.00036	3.26359	0.00039
tead1_3_6.lsm	siTead1	5	3	22	36	1.63636	7675.01896	0.00469	4.88345	0.00064
tead1_3_7.lsm	siTead1	5	3	16	17	1.0625	4745.55288	0.00358	4.99151	0.00105
tead1_3_8.lsm	siTead1	5	3	19	20	1.05263	6552.17189	0.00305	5.03319	0.00077
tead1_3_9.lsm	siTead1	5	3	26	5	0.19231	15314.01956	0.00033	4.58417	0.0003
