ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04979	Cholesterol metabolism	9/232	51/8465	8.33E-06	0.002283278	0.001991179	255738/8647/1581/337/7417/4035/3931/3949/55908	9
hsa04152	AMPK signaling pathway	13/232	121/8465	2.51E-05	0.002966704	0.002587176	10891/3156/2309/148/595/23411/5209/32/8660/31/2538/2194/6720	13
hsa04936	Alcoholic liver disease	14/232	142/8465	3.25E-05	0.002966704	0.002587176	10891/2920/3576/2309/720/257397/219/595/23411/32/31/2194/6720/718	14
hsa00561	Glycerolipid metabolism	8/232	63/8465	2.98E-04	0.018288554	0.015948912	8527/441282/57016/10555/219/26007/57678/80339	8
hsa01522	Endocrine resistance	10/232	98/8465	3.34E-04	0.018288554	0.015948912	4853/8647/1839/107/4851/595/115/1565/107987478/107987479	10
hsa04922	Glucagon signaling pathway	10/232	107/8465	6.76E-04	0.021907952	0.019105283	10891/2645/23235/23411/32/1387/31/2538/2642/2033	10
hsa04512	ECM-receptor interaction	9/232	89/8465	7.06E-04	0.021907952	0.019105283	3918/3339/3694/3673/7148/3912/960/7057/3911	9
hsa04976	Bile secretion	9/232	89/8465	7.06E-04	0.021907952	0.019105283	6548/8647/3156/10864/107/1581/115/3949/10998	9
hsa04931	Insulin resistance	10/232	108/8465	7.27E-04	0.021907952	0.019105283	10891/133522/51085/79660/22877/32/8660/2538/6720/10998	10
hsa05219	Bladder cancer	6/232	41/8465	8.00E-04	0.021907952	0.019105283	3576/2261/1839/4609/595/7057	6
hsa04934	Cushing syndrome	12/232	155/8465	1.10E-03	0.027493026	0.023975862	50940/196/107/1021/4297/7481/595/8322/3164/115/8912/3949	12
hsa04151	PI3K-Akt signaling pathway	20/232	354/8465	1.68E-03	0.038313268	0.033411878	1969/3918/4170/3694/5156/2261/2690/3673/2309/7148/1021/3912/4609/595/3481/54541/3164/7057/2538/3911	20
hsa05206	MicroRNAs in cancer	18/232	310/8465	2.11E-03	0.044493926	0.038801849	4170/4853/5156/2261/7148/1021/4609/4851/960/595/54541/23411/7431/10253/8660/7057/1387/2033	18
hsa05222	Small cell lung cancer	8/232	92/8465	3.63E-03	0.064969725	0.056658192	3918/3673/1021/3912/4609/595/4843/3911	8
hsa04218	Cellular senescence	11/232	156/8465	3.67E-03	0.064969725	0.056658192	678/3576/2309/28996/1021/4609/595/23411/7417/677/4773	11
hsa04977	Vitamin digestion and absorption	4/232	24/8465	3.79E-03	0.064969725	0.056658192	10560/2346/337/6573	4
hsa05165	Human papillomavirus infection	18/232	331/8465	4.26E-03	0.068615384	0.059837465	3918/9636/4853/23352/3694/3673/7148/1021/3912/4851/7481/595/8322/8638/7057/1387/3911/2033	18
hsa05146	Amoebiasis	8/232	102/8465	6.77E-03	0.092975359	0.081081085	3918/2920/3576/5272/107/3912/4843/3911	8
hsa04213	Longevity regulating pathway - multiple species	6/232	62/8465	6.79E-03	0.092975359	0.081081085	2309/107/1410/23411/8660/115	6
hsa04330	Notch signaling pathway	6/232	62/8465	6.79E-03	0.092975359	0.081081085	4853/23013/4851/9612/1387/2033	6
hsa00310	Lysine degradation	6/232	63/8465	7.33E-03	0.095684759	0.083443874	219/4297/23067/9739/9757/84444	6
hsa04350	TGF-beta signaling pathway	8/232	108/8465	9.46E-03	0.114774408	0.100091397	6497/4681/100532736/7036/4609/7057/1387/2033	8
hsa04068	FoxO signaling pathway	9/232	131/8465	9.77E-03	0.114774408	0.100091397	1901/604/2309/595/23411/8660/1387/2538/2033	9
hsa05205	Proteoglycans in cancer	12/232	205/8465	1.06E-02	0.114774408	0.100091397	6548/3339/3673/1839/4609/1514/7481/960/595/3481/8322/7057	12
hsa00052	Galactose metabolism	4/232	32/8465	1.08E-02	0.114774408	0.100091397	441282/57016/2645/2538	4
hsa04211	Longevity regulating pathway	7/232	89/8465	1.09E-02	0.114774408	0.100091397	10891/2309/107/143686/23411/8660/115	7
hsa05144	Malaria	5/232	50/8465	1.15E-02	0.116792449	0.101851271	3576/3606/4035/7057/3383	5
hsa00061	Fatty acid biosynthesis	3/232	18/8465	1.22E-02	0.118250441	0.103122743	32/31/2194	3
hsa04910	Insulin signaling pathway	9/232	137/8465	1.29E-02	0.118250441	0.103122743	10891/2645/79660/32/8660/31/2538/2194/6720	9
hsa00051	Fructose and mannose metabolism	4/232	34/8465	1.34E-02	0.118250441	0.103122743	441282/57016/26007/5209	4
hsa04710	Circadian rhythm	4/232	34/8465	1.34E-02	0.118250441	0.103122743	6097/8863/8864/4783	4
hsa04371	Apelin signaling pathway	9/232	139/8465	1.40E-02	0.120224273	0.104844065	6548/4638/10891/1958/107/595/59/115/4843	9
hsa05202	Transcriptional misregulation in cancer	11/232	193/8465	1.70E-02	0.136225046	0.118797869	8864/604/64332/4299/3576/4609/7704/4297/3087/1848/84444	11
hsa05167	Kaposi sarcoma-associated herpesvirus infection	11/232	194/8465	1.76E-02	0.136225046	0.118797869	2920/3576/1021/4609/595/1387/4773/3383/7311/718/2033	11
hsa04925	Aldosterone synthesis and secretion	7/232	98/8465	1.78E-02	0.136225046	0.118797869	4929/491/107/3164/115/8912/3949	7
hsa04919	Thyroid hormone signaling pathway	8/232	121/8465	1.79E-02	0.136225046	0.118797869	6548/4853/6567/4609/4851/595/1387/2033	8
hsa05166	Human T-cell leukemia virus 1 infection	12/232	222/8465	1.90E-02	0.140432131	0.122466745	1958/6722/107/4609/595/7417/115/1387/51529/4773/3383/2033	12
