source	target	interaction	genes	size	similarity
Activation_of_ATR_in_response_to_replication_stress	Activation_of_the_pre_replicative_complex	overlap	Orc4,Cdc6,Mcm3,Mcm4,Mcm2,Mcm6,Cdk2,Mcm10,Orc2,Mcm7,Rpa1,Rpa3,Mcm8,Orc3,Orc5,Cdc7,Orc1,Cdc45,Dbf4	19	0.548516439454691
Activation_of_ATR_in_response_to_replication_stress	Cell_Cycle_Checkpoints	overlap	Chek1,Orc4,Cdc6,Mcm3,Mcm4,Mcm2,Mcm6,Cdk2,Mcm10,Orc2,Mcm7,Rad17,Rad9b,Clspn,Atrip,Hus1,Rfc3,Rpa1,Rfc4,Rpa3,Mcm8,Rfc5,Orc3,Rad1,Rfc2,Orc5,Rad9a,Cdc7,Orc1,Cdc45,Cdc25a,Cdc25c,Dbf4	33	0.573333333333333
Activation_of_ATR_in_response_to_replication_stress	G2M_Checkpoints	overlap	Chek1,Orc4,Cdc6,Mcm3,Mcm4,Mcm2,Mcm6,Cdk2,Mcm10,Orc2,Mcm7,Rad17,Rad9b,Clspn,Atrip,Hus1,Rfc3,Rpa1,Rfc4,Rpa3,Mcm8,Rfc5,Orc3,Rad1,Rfc2,Orc5,Rad9a,Cdc7,Orc1,Cdc45,Cdc25a,Cdc25c,Dbf4	33	0.655660377358491
Activation_of_the_mRNA_upon_binding_of_the_cap_binding_complex_and_eIFs_and_subsequent_binding_to_43S	Cap_dependent_Translation_Initiation	overlap	Eif3d,Eif4a2,Rps16,Rpsa,Eif3a,Rps2,Eif3e,Eif4a1,Rps20,Rps7,Rps8,Rps15a,Rps14,Rps23,Rps18,Rps29,Rps11,Rps13,Rps4x,Rps6,Loc105244208,Rps15,Rps24,Rps25,Rps26,Rps28,Rps3,Rps27a,Eif4e,Rps17,Rps10,Rps3a1,Rps5,Eif3j1,Eif4ebp1,Eif3j2,Eif4g1,Rps9,Rps27,Rps27rt,Eif2s1,Rps27l,Eif4b,Eif1ax,Eif3b,Eif3l,Eif3c,Eif3h,Eif3m,Eif2s2,Rps21,Rps19,Eif3k,Eif3f,Eif3i,Eif4h,Eif2s3x,Eif3g,Pabpc1	59	0.75
Activation_of_the_mRNA_upon_binding_of_the_cap_binding_complex_and_eIFs_and_subsequent_binding_to_43S	Eukaryotic_Translation_Initiation	overlap	Eif3d,Eif4a2,Rps16,Rpsa,Eif3a,Rps2,Eif3e,Eif4a1,Rps20,Rps7,Rps8,Rps15a,Rps14,Rps23,Rps18,Rps29,Rps11,Rps13,Rps4x,Rps6,Loc105244208,Rps15,Rps24,Rps25,Rps26,Rps28,Rps3,Rps27a,Eif4e,Rps17,Rps10,Rps3a1,Rps5,Eif3j1,Eif4ebp1,Eif3j2,Eif4g1,Rps9,Rps27,Rps27rt,Eif2s1,Rps27l,Eif4b,Eif1ax,Eif3b,Eif3l,Eif3c,Eif3h,Eif3m,Eif2s2,Rps21,Rps19,Eif3k,Eif3f,Eif3i,Eif4h,Eif2s3x,Eif3g,Pabpc1	59	0.75
Activation_of_the_mRNA_upon_binding_of_the_cap_binding_complex_and_eIFs_and_subsequent_binding_to_43S	Formation_of_a_pool_of_free_40S_subunits	overlap	Eif3d,Rps16,Rpsa,Eif3a,Rps2,Eif3e,Rps20,Rps7,Rps8,Rps15a,Rps14,Rps23,Rps18,Rps29,Rps11,Rps13,Rps4x,Rps6,Loc105244208,Rps15,Rps24,Rps25,Rps26,Rps28,Rps3,Rps27a,Rps17,Rps10,Rps3a1,Rps5,Eif3j1,Eif3j2,Rps9,Rps27,Rps27rt,Rps27l,Eif1ax,Eif3b,Eif3l,Eif3c,Eif3h,Eif3m,Rps21,Rps19,Eif3k,Eif3f,Eif3i,Eif3g	48	0.622995877233165
Activation_of_the_mRNA_upon_binding_of_the_cap_binding_complex_and_eIFs_and_subsequent_binding_to_43S	Formation_of_the_ternary_complex_and_subsequently_the_43S_complex	overlap	Eif3d,Rps16,Rpsa,Eif3a,Rps2,Eif3e,Rps20,Rps7,Rps8,Rps15a,Rps14,Rps23,Rps18,Rps29,Rps11,Rps13,Rps4x,Rps6,Loc105244208,Rps15,Rps24,Rps25,Rps26,Rps28,Rps3,Rps27a,Rps17,Rps10,Rps3a1,Rps5,Eif3j1,Eif3j2,Rps9,Rps27,Rps27rt,Eif2s1,Rps27l,Eif1ax,Eif3b,Eif3l,Eif3c,Eif3h,Eif3m,Eif2s2,Rps21,Rps19,Eif3k,Eif3f,Eif3i,Eif2s3x,Eif3g	51	0.932203389830508
Activation_of_the_mRNA_upon_binding_of_the_cap_binding_complex_and_eIFs_and_subsequent_binding_to_43S	GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit	overlap	Eif3d,Eif4a2,Rps16,Rpsa,Eif3a,Rps2,Eif3e,Eif4a1,Rps20,Rps7,Rps8,Rps15a,Rps14,Rps23,Rps18,Rps29,Rps11,Rps13,Rps4x,Rps6,Loc105244208,Rps15,Rps24,Rps25,Rps26,Rps28,Rps3,Rps27a,Eif4e,Rps17,Rps10,Rps3a1,Rps5,Eif3j1,Eif3j2,Eif4g1,Rps9,Rps27,Rps27rt,Eif2s1,Rps27l,Eif4b,Eif1ax,Eif3b,Eif3l,Eif3c,Eif3h,Eif3m,Eif2s2,Rps21,Rps19,Eif3k,Eif3f,Eif3i,Eif4h,Eif2s3x,Eif3g	57	0.735263236838158
Activation_of_the_mRNA_upon_binding_of_the_cap_binding_complex_and_eIFs_and_subsequent_binding_to_43S	L13a_mediated_translational_silencing_of_Ceruloplasmin_expression	overlap	Eif3d,Eif4a2,Rps16,Rpsa,Eif3a,Rps2,Eif3e,Eif4a1,Rps20,Rps7,Rps8,Rps15a,Rps14,Rps23,Rps18,Rps29,Rps11,Rps13,Rps4x,Rps6,Loc105244208,Rps15,Rps24,Rps25,Rps26,Rps28,Rps3,Rps27a,Eif4e,Rps17,Rps10,Rps3a1,Rps5,Eif3j1,Eif3j2,Eif4g1,Rps9,Rps27,Rps27rt,Eif2s1,Rps27l,Eif4b,Eif1ax,Eif3b,Eif3l,Eif3c,Eif3h,Eif3m,Eif2s2,Rps21,Rps19,Eif3k,Eif3f,Eif3i,Eif4h,Eif2s3x,Eif3g,Pabpc1	58	0.752786684990075
Activation_of_the_mRNA_upon_binding_of_the_cap_binding_complex_and_eIFs_and_subsequent_binding_to_43S	Ribosomal_scanning_and_start_codon_recognition	overlap	Eif3d,Eif4a2,Rps16,Rpsa,Eif3a,Rps2,Eif3e,Eif4a1,Rps20,Rps7,Rps8,Rps15a,Rps14,Rps23,Rps18,Rps29,Rps11,Rps13,Rps4x,Rps6,Loc105244208,Rps15,Rps24,Rps25,Rps26,Rps28,Rps3,Rps27a,Eif4e,Rps17,Rps10,Rps3a1,Rps5,Eif3j1,Eif3j2,Eif4g1,Rps9,Rps27,Rps27rt,Eif2s1,Rps27l,Eif4b,Eif1ax,Eif3b,Eif3l,Eif3c,Eif3h,Eif3m,Eif2s2,Rps21,Rps19,Eif3k,Eif3f,Eif3i,Eif4h,Eif2s3x,Eif3g	57	0.983050847457627
