id	type	genes	size	CDmVsHFDm_NES	CDmVsHFDm_pval	CDmVsHFDm_padj	DPNVsHFDm_NES	DPNVsHFDm_pval	DPNVsHFDm_padj	DIPVsHFDm_NES	DIPVsHFDm_pval	DIPVsHFDm_padj	E2VsHFDm_NES	E2VsHFDm_pval	E2VsHFDm_padj	PPTVsHFDm_NES	PPTVsHFDm_pval	PPTVsHFDm_padj
Activation_of_ATR_in_response_to_replication_stress	ENR	Chek1,Orc4,Cdc6,Mcm3,Mcm4,Mcm2,Mcm6,Cdk2,Mcm10,Orc2,Mcm7,Rad17,Rad9b,Clspn,Atrip,Hus1,Rfc3,Rpa1,Rfc4,Rpa3,Mcm8,Rfc5,Orc3,Rad1,Rfc2,Orc5,Rad9a,Cdc7,Orc1,Cdc45,Cdc25a,Cdc25c,Dbf4	33	-1.81023448034697	0.00182182402654999	0.0214256769319612	-1.78510087667764	0.00167080408583266	0.0221447843122266	-1.97908962417013	0.000185167628162599	0.00441757055759343	-1.81603066567889	0.00168301464790682	0.0303124430896964	-1.77111207726306	0.00293133608740355	0.0370858429239692
Activation_of_the_mRNA_upon_binding_of_the_cap_binding_complex_and_eIFs_and_subsequent_binding_to_43S	ENR	Eif3d,Eif4a2,Rps16,Rpsa,Eif3a,Rps2,Eif3e,Eif4a1,Rps20,Rps7,Rps8,Rps15a,Rps14,Rps23,Rps18,Rps29,Rps11,Rps13,Rps4x,Rps6,Loc105244208,Rps15,Rps24,Rps25,Rps26,Rps28,Rps3,Rps27a,Eif4e,Rps17,Rps10,Rps3a1,Rps5,Eif3j1,Eif4ebp1,Eif3j2,Eif4g1,Rps9,Rps27,Rps27rt,Eif2s1,Rps27l,Eif4b,Eif1ax,Eif3b,Eif3l,Eif3c,Eif3h,Eif3m,Eif2s2,Rps21,Rps19,Eif3k,Eif3f,Eif3i,Eif4h,Eif2s3x,Eif3g,Pabpc1	59	1.87928548073432	0.00010919251214828	0.00260502136125182	2.06053437530517	8.77093626256372e-06	0.000332896899056396	1.90252482241212	0.000156651943956813	0.00384718744717467	1.80285018878248	0.00248872095738184	0.0391854545200325	2.01966335116852	0.000331206888462876	0.00674531102113418
Activation_of_the_pre_replicative_complex	ENR	Pole2,Orc4,Cdc6,Prim1,Mcm3,Prim2,Pola2,Mcm4,Mcm2,Mcm6,Cdk2,Mcm10,Orc2,Mcm7,Cdt1,Rpa1,Pole4,Rpa3,Mcm8,Orc3,Pole3,Dbf4,Orc5,Pole,Cdc7,Orc1,Cdc45,Pola1,Gmnn	29	-1.74305937375343	0.00454534786133522	0.0451829221930347	-1.79940060462272	0.00133671243254282	0.0188003971686485	-2.03921487155974	6.72885759898412e-05	0.00208096151672287	-1.9013130394673	0.000631996802634971	0.013192933255005	-1.77980097274105	0.00475721530911528	0.0515879841962501
Amino_acid_and_derivative_metabolism	ENR	Mtr,Oaz2,Dld,Bckdk,Gcat,Odc1,Slc3a2,Ass1,Pdha1,Pdha2,Dbt,Oaz1,Ckb,Mccc2,Ogdh,Pdhx,Dlat,Ppm1k,Amt,Lipt1,Gldc,Lias,Lipt2,Pdhb,Ethe1,Oaz3,Aspg,Duox1,Duox2,Agmat,Asmt,Gls,Tstd1,Arg2,Il4i1,Il4i1b,Hgd,Folh1,Agxt,Bhmt,Bcat2,Gamt,Crym,Ddc,Aanat,Got1,Got2,Amd1,Otc,Glul,Pah,Tph1,Dao,Bcat1,Th,Glud1,Oat,Dct,Slc6a11,Tpo,Hal,Pnmt,Gm4737,Ahcy,Shmt1,Tst,Cdo1,Pcbd1,Sms,Sms-Ps,Sephs2,Agxt2,Nat8l,Gls2,Hykk,Asns,Arg1,Phgdh,Srm,Bckdhb,Ado,Rimkla,Slc6a7,Slc44a1,Carns1,Carnmt1,Gadl1,Rimklb,Enoph1,Gpt2,Chdh,Kyat1,Qdpr,Azin2,Slc25a21,Asrgl1,Cps1,Tph2,Slc36a4,Aldh4a1,Nmral1,Tdh,Tat,Gpt,Hibch,Acat1,Phykpl,Sdsl,Aspa,Nags,Sds,Slc6a8,Uroc1,Cth,Prodh2,Kmo,Bhmt2,Cbs,Mat1a,Ftcd,Asl,Grhpr,Pycr2,Pycr1,Aass,Psat1,Hibadh,Psph,Slc25a2,Mccc1,Mtap,Kynu,Naalad2,Dlst,Amdhd1,Aldh7a1,Hoga1,Iyd,Aldh6a1,Ivd,Scly,Aldh9a1,Txnrd1,Gnmt,Srr,Hao1,Prodh,Slc25a15,Gstz1,Aadat,Aldh18a1,Slc7a5,Mtrr,Azin1,Gcsh,Nqo1,Ckm,Dhtkd1,Ndufab1,Sqor,Cga,Dio1,Dio3,Pycrl,Dio2,Suox,Ckmt1,Ckmt2,Pipox,Bbox1,Hdc,Ido1,Tdo2,Ido2,Sardh,Dmgdh,Auh,Tyrp1,Fah,Sat1,Adi1,Hpd,Rida,Serinc4,Serinc5,Serinc2,Serinc1,Serinc3,Mri1,Haao	190	-1.93516621017644	5.47010010012531e-07	2.17501599219268e-05	-1.01809577908226	0.439093484419263	0.72032035263278	-1.32863188773761	0.0453514739229025	0.224073850447477	-1.85153172189625	4.83396402093759e-06	0.00022424221986016	-2.03464301405813	2.47786350173201e-08	1.29313501496639e-06
Assembly_of_the_pre_replicative_complex	ENR	Psmb1,Psmd4,E2f3,Psmd14,Psmb10,Psmb5,Psma3,Gmnn,Psmc3,Orc4,Cdc6,Ubb,Ubc,Psmd3,Mcm3,Psmd7,Psmb8,Psmb9,Mcm4,Psma2,Psmc4,E2f2,Psme3,Psmc1,Psmc5,Psmc6,Rps27a,Uba52,Psmb7,Mcm2,Mcm6,Psme1,Psme2,Psme2b,Psmb4,Psmd1,Psme4,Psmb6,Orc2,E2f1,Mcm7,Psmd11,Psmb11,Psmf1,Psmd5,Cdt1,Psmd2,Psmd6,Psmd9,Psma8,Mcm8,Psmd8,Psmd12,Orc3,Psma6,Psma4,Psmb3,Psmb2,Psma1,Orc5,Psmd13,Orc1,Psma7,Psma5,Psmd10	65	-1.76365502342731	0.00158058089424833	0.0194086036279023	-1.50311860349408	0.0175189179452636	0.101585392252049	-1.11367454523735	0.245243128964059	0.531890942038934	-1.04829939765696	0.357142857142857	0.742779677628986	-0.766792284018979	0.873517786561265	0.952202809110517
Biological_oxidations	ENR	Mtr,Gclm,Tpst1,Tpst2,Hsp90ab1,Rxra,Ahr,Arnt,Ncoa1,Nr1h4,Arnt2,Fdxr,N6amt1,Marc2,Mat2b,Marc1,Cyb5r3,Cyp11a1,Ptges3,Cyp4a29,Cyp4a30b,Adh6b,Cyp4a32,Cyp4a12b,Slc35d1,Ugt1a5,Cyp26c1,Cyp2a22,Cyp3a57,Cyp3a59,Cyp2b23,Glyatl3,Cyp2w1,Ces2h,Cyp4a31,Cyp4f40,Gsto1,Cyp3a25,Ptgis,Cyp27b1,Sult2b1,Cyp4a14,Cyp2j6,Tpmt,Cyp26a1,Nnmt,Aoc3,Ugdh,Papss2,Comt,Cyp4a10,Cyp8b1,Cyp1a1,Adh1,Pomc,Cyp21a1,Sult6b1,Cyp2a4,Cyp11b2,Ptgs1,Aldh1a1,Adh5,Cyp19a1,Cyp2f2,Aldh2,Aldh3a1,Fmo1,Gss,Cyp2a12,Slc26a1,Sult4a1,Gclc,Fmo3,Cyp2e1,Cyp2c65,Cyp11b1,Mat2a,Ahrr,Cyp2c66,Papss1,Cyp7b1,Ncoa2,Slc26a2,Ugt1a1,Cyp1b1,Adh7,Cyp3a11,Cyp4b1,Cyp3a13,Cyp3a16,Cyp7a1,Cyp2r1,Acsm4,Cyp26b1,Aoc2,Acsm5,Cyp4f39,Akr7a5,Oplah,Cyp51,Acsm2,Fmo2,Cbr3,Chac1,Ces1d,Acsm1,Cyp4a12a,As3mt,Mat1a,Glyat,Ugp2,Cyp4f15,Chac2,Cyb5b,Cyp2u1,Aldh1b1,Cndp2,Ggct,Cyp2c55,Sult1c2,Cyp4v3,Cyp2s1,Trmt112,Cyp4f14,Cyp3a44,Akr1a1,Cyp39a1,Cyp2d22,Cyp3a41a,Cyp3a41b,Sult1b1,Adh4,Esd,Cyp46a1,Mtrr,Podxl2,Aip,Fdx1,Fdx2,Gm4737,Ahcy,Ces3a,Maoa,Maob,Bphl,Cmbl,Acy3,Acy1,Aadac,Ephx1,Bpnt1,Ugt1a10,Ugt1a6b,Ugt1a2,Ugt3a1,Ugt1a9,Ugt1a6a,Ugt2a2,Ugt1a7c,Ugt2a1,Ugt2b35,Ugt2a3,Ugt3a2,Ugt2b34,Ugt2b1,Mgst2,Mgst1,Mgst3,Acss1,Slc35b2,Slc35b3,Abhd10,Tbxas1,Acss2,Gsta1,Gstm2,Gstp1,Gsta3,Gstm5,Gstt2,Gstt1,Gstm7,Gsto2,Gstm4,Hpgds,Gstz1	186	-1.97761367296522	2.07767126906021e-07	1.02050324097957e-05	-1.41747775027164	0.0213371266002845	0.121437460321051	-1.63009363948089	0.000619211509985042	0.0107717002257815	-1.78192972769911	1.90980234925709e-05	0.000613340369857566	-1.97033005153494	2.11859825695362e-07	9.31068181345408e-06
Branched_chain_amino_acid_catabolism	ENR	Dld,Bckdk,Dbt,Mccc2,Ppm1k,Bcat2,Bcat1,Shmt1,Bckdhb,Hibch,Hibadh,Mccc1,Aldh6a1,Ivd,Aldh9a1,Bbox1,Auh,Acat1	18	-1.90214766689514	0.00033394767370734	0.00564267619213302	-1.2039525393873	0.232358003442341	0.488712677265377	-1.93859058175773	0.000506126231781489	0.00941086973317987	-1.79293423330842	0.00537991947714506	0.0641747537630875	-1.87348763586953	0.000768451780055097	0.0128331447269201
Cap_dependent_Translation_Initiation	ENR	Eif2b3,Rpl3l,Rpl35a,Eif3d,Eif4a2,Rpl27a,Rps16,Rpl7,Rpsa,Rplp0,Rpl13a,Eif3a,Rps2,Rpl3,Rpl12,Rpl18,Rpl28,Rpl6,Rpl29,Gm8210,Rplp1,Rpl5,Rpl13,Rpl9,Eif5,Eif3e,Eif4a1,Rps20,Rpl26,Rpl27,Loc108167922,Rps7,Rps8,Rps15a,Rps14,Rps23,Rps18,Rps29,Rps11,Rps13,Rps4x,Rpl18a,Rpl23a,Rps6,Loc105244208,Rpl23,Loc100044627,Loc100862455,Rps15,Rps24,Rps25,Rps26,Rps28,Rpl30,Rpl39,Rpl31,Rps3,Rpl32,Rpl8,Rps27a,Uba52,Eif4e,Rps17,Rps10,Rpl22,Rpl36a,Rpl36al,Rpl19,Rpl10l,Rps3a1,Rps5,Rplp2,Eif3j1,Eif4ebp1,Eif2b4,Eif3j2,Eif4g1,Rps9,Rps27,Rps27rt,Rpl10,Rpl35,Eif2s1,Rps27l,Eif4b,Eif1ax,Rpl24,Eif2b5,Eif3b,Eif3l,Eif3c,Eif3h,Eif3m,Eif2s2,Eif2b1,Eif2b2,Rpl39l,Rps21,Rpl14,Rpl11,Rpl15,Rps19,Rpl34,Rpl34-Ps1,Gm4705,Rpl22l1,Rpl37,Rpl37rt,Rpl4,Eif3k,Eif3f,Rpl38,Eif3i,Eif4h,Eif2s3x,Eif3g,Eif5b,Pabpc1	118	2.14429823942164	9.9209884012978e-09	6.90335442923639e-07	2.4139888174626	2.23001314962269e-11	2.06895664437216e-09	2.36694164128348	2.62178238037254e-11	2.73648535951384e-09	2.19549183394446	5.1130926124139e-07	3.96513246112057e-05	2.48941721062094	1.51729145651863e-11	1.26693836619305e-09
Cell_Cycle_Checkpoints	ENR	Cdc27,Ckap5,Cenpf,Bub1,Cenpa,Chek1,Nudc,Zw10,Aurkb,Birc5,Bard1,Sfn,Dync1i1,Dync1i2,Orc4,Cdc6,Trp53,Ubb,Ubc,Hist1h2bf,Hist1h2bj,Hist1h2bl,Hist1h2bn,Hist1h2bq,Hist1h2br,Hist1h2bm,Cdk1,Mdm2,Mcm3,H2afx,Kif2a,Cdkn1a,Rangap1,Cdkn1b,Brcc3,Brca1,Cdc25a,Cenpc1,Mcm4,Ccna2,Ube2e1,Anapc1,Nup43,Anapc15,Ube2d1,Ube2n,Ywhag,Ywhae,Ppp2cb,Hist1h4h,Hist2h4,Hist1h4c,Hist1h4d,Hist1h4f,Hist1h4i,Hist1h4j,Hist1h4k,Hist1h4n,Hist4h4,Hist1h4a,Hist1h4b,Hist1h4m,Rps27a,Uba52,Pafah1b1,Ppp1cc,Ppp1ccb,Ywhaz,Dynll1,Ppp2ca,Ywhaq,Hist1h3g,Hist1h3h,Hist1h3i,Hist1h3a,Ywhah,Trp53bp1,Hist1h2ba,Mcm2,Mcm6,Cdk2,Plk1,Mcm10,Cenpt,Spc25,Babam1,B9d2,Herc2,Taok1,Mdc1,Uimc1,Orc2,Ppp2r5c,Ppp2r5e,Mapre1,Mre11a,Ccna1,Mcm7,Atm,Hist1h2bb,Hist1h2bh,Hist2h2be,Rad17,Xpo1,Ppp2r5a,Ppp2r5b,Dync1li2,Nup98,Cenpe,Rad9b,Hist1h2bc,Hist1h2be,Hist1h2bg,Ppp2r1a,Ppp2r1b,Sgo2a,Clasp1,Rnf168,Clspn,Cdc23,Nup107,Ercc6l,Cdca8,Rcc2,Phf20,Atrip,Abraxas1,Hus1,Clasp2,Anapc5,Nsd2,Anapc2,Kif2b,Kntc1,Cenpu,Hist1h2bk,Hist1h2bp,Kat5,Ahctf1,Cenpo,Anapc10,Babam2,Zwilch,Gtse1,Nup133,Dync1li1,Seh1l,Rfc3,Cdc16,Nup85,Rnf8,Rpa1,Ppp2r5d,Anapc4,Kif18a,Clip1,Kif2c,Spdl1,Rfc4,Cdc26,Nuf2,Cenpq,Ska1,Anapc16,Pmf1,Anapc11,Rpa3,Itgb3bp,Cenpm,Zwint,Ywhab,Ska2,Nup37,Mcm8,Sgo1,Mis12,Dsn1,Cenpp,Nde1,Cenpn,Spc24,Cenps,Ndc80,Rfc5,Dynll2,Ube2c,Sec13,Ube2v2,Ndel1,Ranbp2,Pkmyt1,Cenpk,Dync1h1,Cdc20,Orc3,Pias4,Rad1,Cenph,Cop1,Nbn,Mad1l1,Incenp,Rfc2,Orc5,Bub3,Anapc7,Rad9a,Cdc7,Nup160,Mad2l1,Orc1,Bub1b,Cdc45,Chek2,Rps27,Rps27rt,Cdc25c,Sumo1,Dbf4,Mdm4,Zfp385a,Ccnb1,Ccnb2,Ccne1,Ccne2	225	-1.53865188102835	0.00361176324786107	0.0381749659742278	-1.40254479886575	0.0254957507082153	0.128246697839517	-1.56364281582342	0.00147327788933674	0.0208506277558674	-1.18025743630173	0.155902004454343	0.541136061695992	-1.50252117344295	0.00423729420904081	0.0471752088606544
Chromatin_modifying_enzymes	ENR	Prdm16,Arid1a,Kansl3,Brpf3,Brpf1,Setd1a,Brd1,Arid1b,Setd2,Arid2,Kmt2b,Suv39h1,Smarce1,Kdm6a,Atf2,Ccnd1,Cdk4,Kdm5c,Kmt2a,Kdm2a,Wdr5,Hist1h4h,Hist2h4,Hist1h4c,Hist1h4d,Hist1h4f,Hist1h4i,Hist1h4j,Hist1h4k,Hist1h4n,Hist4h4,Hist1h4a,Hist1h4b,Hist1h4m,Hist1h3g,Hist1h3h,Hist1h3i,Hist1h3a,Ncoa1,Hist2h3c1,Hist2h3c2,Hist1h3f,Hist1h3c,Hist1h3d,Hist1h3b,Hist1h3e,Hist2h3b,Smarcc1,Rela,Padi2,Meaf6,Kmt5a,Smarca4,Kdm4d,Kmt5b,Kmt2e,Kdm7a,Kdm5a,Ehmt1,Kdm6b,Kat7,Rbbp4,Rbbp7,Ezh2,Hcfc1,Smarcd1,Kdm5d,Msl2,Smarca2,Jade3,Prmt6,Kdm2b,Nsd3,Smarcd3,Kdm3a,Smarcc2,Msl1,Kmt5c,Dot1l,Jade1,Kdm1a,Jade2,Atf7ip,Kansl1,Phf8-Ps,Phf8,Suz12,Kdm5b,Phf20,Arid5b,Kansl2,Kat6b,Nsd2,Kdm4a,Rbbp5,Hat1,Ing4,Riox2,Setd1b,Ogt,Kdm1b,Prmt5,Padi6,Smyd2,Kdm4c,Setd7,Kdm4b,Setd3,Ash2l,Eed,Prmt3,Prmt7,Wdr77,Smarcd2,Mcrs1,Dpy30,Actl6b,Ash1l,Coprs,Smyd3,Setd6,Kat8,Ing5,Suv39h2,Jmjd6,Prmt1,Nfkb2,Phf2,Carm1,Msl3,Smarcb1,Ehmt2,Padi4,Padi3,Padi1,Aebp2,Actl6a,Hist1h2bf,Hist1h2bj,Hist1h2bl,Hist1h2bn,Hist1h2bq,Hist1h2br,Hist1h2bm,Hist1h2ba,Hist1h2bb,Hist1h2bh,Hist2h2be,Hist2h2bb,Hist1h2bc,Hist1h2be,Hist1h2bg,Hist1h2bp,Dnmt3a,Brwd1,Pax3,Nfkb1,Hist1h2ac,Hist1h2ad,Hist1h2ae,Hist1h2ag,Hist1h2an,Hist1h2ap,Hist1h2ab,Hist1h2ai,Hist1h2ao,Hist2h2ab,Hist2h2ac,Hist2h2aa1,Hist2h2aa2,Hist3h2a,Hist1h2aa,Hist1h2af,Hist1h2ah,Hist1h2ak,H2afj,Rps2	177	1.55102863483328	0.00438264498121529	0.0440904645700574	1.09702925697732	0.245901639344262	0.501820494823653	1.14146669761284	0.209507042253521	0.487293538389109	1.31202181581319	0.0658135283363803	0.35865885087675	1.10670184338382	0.24703557312253	0.557499198803547
