ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	external_gene_name	chromosome_name	gene_biotype	description
ENSG00000090020	89.3450910558432	-1.1797328264738	0.37370357698443	-3.15686790047223	0.00159473573655214	0.0468364591406401	SLC9A1	1	protein_coding	solute carrier family 9 member A1 [Source:HGNC Symbol;Acc:HGNC:11071]
ENSG00000142627	261.211069459089	-0.85209426185587	0.165372381896648	-5.15257899827796	2.56928327417509e-07	4.37358317349095e-05	EPHA2	1	protein_coding	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]
ENSG00000122420	42.6457318628146	-1.29049829248984	0.357831584534769	-3.60644042690549	0.000310426084565897	0.0144966234358782	PTGFR	1	protein_coding	prostaglandin F receptor [Source:HGNC Symbol;Acc:HGNC:9600]
ENSG00000069702	189.464515169077	-0.700220902151803	0.153533722805865	-4.56069773698638	5.09839261228052e-06	0.000508785559603699	TGFBR3	1	protein_coding	transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]
ENSG00000203697	152.618427472121	0.600376673883249	0.161868116475318	3.70904837194912	0.000208039684192798	0.0105055063491425	CAPN8	1	protein_coding	calpain 8 [Source:HGNC Symbol;Acc:HGNC:1485]
ENSG00000162702	315.036857880142	-0.588404367964311	0.114392613688561	-5.14372693298422	2.69340948584449e-07	4.51210217676234e-05	ZNF281	1	protein_coding	zinc finger protein 281 [Source:HGNC Symbol;Acc:HGNC:13075]
ENSG00000163874	301.009712782218	-0.860158649827227	0.171051929142119	-5.02864044937232	4.93969635821766e-07	7.55558773400423e-05	ZC3H12A	1	protein_coding	zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259]
ENSG00000162366	159.226947401813	-0.833086059022549	0.245888651983838	-3.38806224809963	0.000703882876586753	0.0261576756320302	PDZK1IP1	1	protein_coding	PDZK1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16887]
ENSG00000049239	2875.09055543019	-0.586323225996916	0.171192443629354	-3.42493636732212	0.00061494343130074	0.0239487563614318	H6PD	1	protein_coding	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795]
ENSG00000142871	1175.53030599213	-1.37956072260701	0.13508906869159	-10.2122306117645	1.74799384282708e-24	1.8448327017197e-20	CCN1	1	protein_coding	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]
ENSG00000179023	296.809997437656	-0.653634859116815	0.137084822700834	-4.76810522302146	1.85966653647991e-06	0.000228220007279174	KLHDC7A	1	protein_coding	kelch domain containing 7A [Source:HGNC Symbol;Acc:HGNC:26791]
ENSG00000143850	398.957275623886	-0.657630165479781	0.172178323091239	-3.81947131132933	0.00013373801224497	0.00758855366254524	PLEKHA6	1	protein_coding	pleckstrin homology domain containing A6 [Source:HGNC Symbol;Acc:HGNC:17053]
ENSG00000117009	242.931613508817	-0.692369385525596	0.149647073530326	-4.62668175990281	3.71570785450307e-06	0.000384466477415935	KMO	1	protein_coding	kynurenine 3-monooxygenase [Source:HGNC Symbol;Acc:HGNC:6381]
ENSG00000142798	69.4938620258423	-0.945940945288804	0.28588173975909	-3.30885402504526	0.000936786656541918	0.0319962665797521	HSPG2	1	protein_coding	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]
ENSG00000197956	1696.57718934104	1.21980305517805	0.197899604424758	6.16374680850777	7.10435067599027e-10	2.34310365732504e-07	S100A6	1	protein_coding	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]
ENSG00000142677	267.092486043297	0.622230645915373	0.16711909484711	3.72327678344971	0.000196653728925386	0.0101216222885026	IL22RA1	1	protein_coding	interleukin 22 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:13700]
ENSG00000014914	270.528181958354	0.608778421315412	0.146250976050657	4.1625597158719	3.1469980496312e-05	0.00226849929625163	MTMR11	1	protein_coding	myotubularin related protein 11 [Source:HGNC Symbol;Acc:HGNC:24307]
ENSG00000265972	1315.26693880883	-0.64570789800095	0.15863381314239	-4.07043041587458	4.69263565363076e-05	0.00319527414107928	TXNIP	1	protein_coding	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]
ENSG00000175793	393.891445776497	0.903775036021354	0.193371032408679	4.67378709604898	2.95695865925409e-06	0.000321729295770801	SFN	1	protein_coding	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]
ENSG00000158615	862.416876057619	-0.707580301131236	0.168692478379793	-4.19449822497832	2.73476293034832e-05	0.00201836978789484	PPP1R15B	1	protein_coding	protein phosphatase 1 regulatory subunit 15B [Source:HGNC Symbol;Acc:HGNC:14951]
ENSG00000117479	362.405084224591	-0.734151796826589	0.136035146137643	-5.39678030031857	6.78473821755328e-08	1.39907460670344e-05	SLC19A2	1	protein_coding	solute carrier family 19 member 2 [Source:HGNC Symbol;Acc:HGNC:10938]
ENSG00000099260	514.981519066417	-0.720352683241209	0.111630025569195	-6.45303698147673	1.0963059199374e-10	4.13229024250692e-08	PALMD	1	protein_coding	palmdelphin [Source:HGNC Symbol;Acc:HGNC:15846]
ENSG00000177000	651.991553364679	-0.765640684083131	0.221198768437564	-3.46132435316539	0.000537524757413144	0.0215984302487034	MTHFR	1	protein_coding	methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436]
ENSG00000196660	1210.19930109541	-0.714640420807206	0.15181729291816	-4.70723991365363	2.51093332588592e-06	0.000285453733449905	SLC30A10	1	protein_coding	solute carrier family 30 member 10 [Source:HGNC Symbol;Acc:HGNC:25355]
ENSG00000171819	69.5794269291206	-1.022202876658	0.319518598517557	-3.19919679605702	0.0013781106195262	0.0421014732783385	ANGPTL7	1	protein_coding	angiopoietin like 7 [Source:HGNC Symbol;Acc:HGNC:24078]
ENSG00000162616	234.721061597724	-1.00773486315375	0.178905222612334	-5.63278616710588	1.77321266846039e-08	4.79858628280282e-06	DNAJB4	1	protein_coding	DnaJ heat shock protein family (Hsp40) member B4 [Source:HGNC Symbol;Acc:HGNC:14886]
ENSG00000169905	1291.67873874588	-0.724524911525944	0.217469270423417	-3.33161972776788	0.00086342150437602	0.0302742543428057	TOR1AIP2	1	protein_coding	torsin 1A interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24055]
ENSG00000158747	152.722567445758	0.7738137730643	0.171319563850209	4.51678579885292	6.27853587247069e-06	0.000619286613065941	NBL1	1	protein_coding	NBL1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]
ENSG00000171132	189.54554757267	-0.598220981487367	0.167379210845176	-3.57404589534547	0.000351507275766725	0.0161295990801827	PRKCE	2	protein_coding	protein kinase C epsilon [Source:HGNC Symbol;Acc:HGNC:9401]
ENSG00000136720	103.947201287693	-0.673980986885548	0.202382719913846	-3.33022990882058	0.000867743028520145	0.0303250328576212	HS6ST1	2	protein_coding	heparan sulfate 6-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5201]
ENSG00000173166	759.912277719056	-0.691228995381772	0.219099456401426	-3.15486403633666	0.00160572916636265	0.0468364591406401	RAPH1	2	protein_coding	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:14436]
ENSG00000115009	185.170589225475	-1.08101824342143	0.239759663689487	-4.5087577567737	6.52083119440524e-06	0.000637230115053268	CCL20	2	protein_coding	C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619]
ENSG00000115963	1164.68030505887	-0.990526230988971	0.121337418779057	-8.16340285590395	3.25715917869365e-16	4.91086542456183e-13	RND3	2	protein_coding	Rho family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:671]
ENSG00000169432	389.797206537211	-0.75980153434291	0.180568713540897	-4.20782492959848	2.57840498408001e-05	0.00194374901442717	SCN9A	2	protein_coding	sodium voltage-gated channel alpha subunit 9 [Source:HGNC Symbol;Acc:HGNC:10597]
