Geneid	Length	hisat2_aligned/FFA-control-1_S10.bam	hisat2_aligned/FFA-control-2_S11.bam	hisat2_aligned/FFA-control-3_S12.bam	hisat2_aligned/TEADap-inh-1_S13.bam	hisat2_aligned/TEADap-inh-2_S14.bam	hisat2_aligned/TEADsf-inh-1_S16.bam	hisat2_aligned/TEADsf-inh-2_S17.bam	hisat2_aligned/TEADsf-inh-3_S18.bam
ENSG00000160072	7686	160	142	48	152	133	120	125	247
ENSG00000279928	570	0	0	0	0	0	0	0	0
ENSG00000228037	626	0	0	0	0	0	0	0	1
ENSG00000142611	9767	3	0	0	3	4	1	6	1
ENSG00000284616	1225	0	0	0	0	0	0	0	0
ENSG00000157911	3782	200	211	31	218	198	208	240	388
ENSG00000269896	2407	5	5	0	3	8	2	3	7
ENSG00000228463	8224	2	0	1	5	2	0	0	2
ENSG00000260972	1697	0	0	0	0	0	0	0	0
ENSG00000224340	337	0	0	0	0	0	0	0	0
ENSG00000226374	2168	0	0	0	0	0	0	0	0
ENSG00000229280	372	0	0	0	0	0	0	0	0
ENSG00000142655	2932	208	207	25	240	222	198	214	383
ENSG00000232596	3328	0	0	0	0	0	0	0	0
ENSG00000235054	2574	0	0	0	0	0	0	0	0
ENSG00000231510	449	0	0	0	0	0	0	0	0
ENSG00000149527	10809	383	371	104	240	244	235	347	524
ENSG00000284739	464	0	0	0	0	0	0	0	0
ENSG00000171621	3389	1921	1899	348	1988	1902	1583	1713	3104
ENSG00000272235	3461	0	0	0	0	0	0	1	0
ENSG00000284694	3402	0	0	0	0	0	0	0	0
ENSG00000224387	455	0	0	0	0	0	0	0	0
ENSG00000142583	6632	15	18	1	10	7	9	17	16
ENSG00000284674	1580	0	0	0	0	0	0	0	0
ENSG00000224338	565	0	0	0	0	0	0	0	0
ENSG00000116786	4134	783	724	148	659	715	641	681	1210
ENSG00000287727	2876	0	0	0	0	0	0	1	0
ENSG00000286448	736	0	0	0	0	0	0	0	0
ENSG00000284703	4817	1	0	0	0	0	0	0	1
ENSG00000226457	381	1	0	0	0	0	0	0	0
ENSG00000173614	4610	95	85	8	86	83	71	100	149
