GeneID_mouse	GeneSymbol_mouse	GeneID_human	GeneSymbol_human
ENSMUSG00000064351	mt-Co1	ENSG00000198804	MT-CO1
ENSMUSG00000064341	mt-Nd1	ENSG00000198888	MT-ND1
ENSMUSG00000064358	mt-Co3	ENSG00000198938	MT-CO3
ENSMUSG00000064356	mt-Atp8	ENSG00000228253	MT-ATP8
ENSMUSG00000062054	Iah1	ENSG00000134330	IAH1
ENSMUSG00000064363	mt-Nd4	ENSG00000198886	MT-ND4
ENSMUSG00000065947	mt-Nd4l	ENSG00000212907	MT-ND4L
ENSMUSG00000022148	Fyb	ENSG00000082074	FYB1
ENSMUSG00000028986	Klhl7	ENSG00000122550	KLHL7
ENSMUSG00000029571	Tmem106b	ENSG00000106460	TMEM106B
ENSMUSG00000064368	mt-Nd6	ENSG00000198695	MT-ND6
ENSMUSG00000064360	mt-Nd3	ENSG00000198840	MT-ND3
ENSMUSG00000032834	Pwp2	ENSG00000275464	
ENSMUSG00000023070	Rgn	ENSG00000130988	RGN
ENSMUSG00000064370	mt-Cytb	ENSG00000198727	MT-CYB
ENSMUSG00000024457	Trim26	ENSG00000234127	TRIM26
ENSMUSG00000064367	mt-Nd5	ENSG00000198786	MT-ND5
ENSMUSG00000027340	Slc23a2	ENSG00000089057	SLC23A2
ENSMUSG00000069237	Fam8a1	ENSG00000137414	FAM8A1
ENSMUSG00000064345	mt-Nd2	ENSG00000198763	MT-ND2
ENSMUSG00000052593	Adam17	ENSG00000151694	ADAM17
ENSMUSG00000053329	Gatd3a	ENSG00000276612	
ENSMUSG00000053329	Gatd3a	ENSG00000280071	GATD3B
ENSMUSG00000033676	Gabrb3	ENSG00000166206	GABRB3
ENSMUSG00000052040	Klf13	ENSG00000169926	KLF13
ENSMUSG00000064354	mt-Co2	ENSG00000198712	MT-CO2
ENSMUSG00000064357	mt-Atp6	ENSG00000198899	MT-ATP6
ENSMUSG00000040040	Ift88	ENSG00000032742	IFT88
ENSMUSG00000029162	Khk	ENSG00000138030	KHK
ENSMUSG00000024286	Ccny	ENSG00000108100	CCNY
ENSMUSG00000025494	Sigirr	ENSG00000185187	SIGIRR
ENSMUSG00000114456	Hist1h2bh	ENSG00000273703	HIST1H2BM
ENSMUSG00000061689	Dlgap4	ENSG00000080845	DLGAP4
ENSMUSG00000027408	Cpxm1	ENSG00000088882	CPXM1
ENSMUSG00000006289	Osgep	ENSG00000092094	OSGEP
ENSMUSG00000033256	Shf	ENSG00000138606	SHF
ENSMUSG00000067818	Myl9	ENSG00000101335	MYL9
ENSMUSG00000029161	Cgref1	ENSG00000138028	CGREF1
ENSMUSG00000034032	Rpap1	ENSG00000103932	RPAP1
ENSMUSG00000022237	Ankrd33b	ENSG00000164236	ANKRD33B
ENSMUSG00000027189	Trim44	ENSG00000166326	TRIM44
ENSMUSG00000022016	Akap11	ENSG00000023516	AKAP11
ENSMUSG00000042167	Tent2	ENSG00000164329	TENT2
ENSMUSG00000032519	Slc25a38	ENSG00000144659	SLC25A38
ENSMUSG00000007836	Hnrnpa0	ENSG00000177733	HNRNPA0
ENSMUSG00000024446	Rpp21	ENSG00000241370	RPP21
ENSMUSG00000014402	Tsg101	ENSG00000074319	TSG101
ENSMUSG00000039959	Hip1	ENSG00000127946	HIP1
ENSMUSG00000053119	Chmp3	ENSG00000249884	RNF103-CHMP3
ENSMUSG00000053119	Chmp3	ENSG00000115561	CHMP3
ENSMUSG00000045822	Zswim3	ENSG00000132801	ZSWIM3
ENSMUSG00000045409	Trim39	ENSG00000204599	TRIM39
ENSMUSG00000032397	Tipin	ENSG00000075131	TIPIN
ENSMUSG00000036617	Etl4	ENSG00000120549	KIAA1217
ENSMUSG00000020843	Timm22	ENSG00000177370	TIMM22
ENSMUSG00000029233	Srd5a3	ENSG00000128039	SRD5A3
ENSMUSG00000039001	Rps21	ENSG00000171858	RPS21
ENSMUSG00000036278	Macrod1	ENSG00000133315	MACROD1
ENSMUSG00000061411	Nol4l	ENSG00000197183	NOL4L
ENSMUSG00000017721	Pigt	ENSG00000124155	PIGT
ENSMUSG00000019558	Slc6a8	ENSG00000130821	SLC6A8
ENSMUSG00000036904	Fzd8	ENSG00000177283	FZD8
ENSMUSG00000017764	Zswim1	ENSG00000168612	ZSWIM1
ENSMUSG00000007039	Ddah2	ENSG00000213722	DDAH2
ENSMUSG00000037263	Aldh3b3	ENSG00000132746	ALDH3B2
ENSMUSG00000028413	B4galt1	ENSG00000086062	B4GALT1
ENSMUSG00000021156	Zmynd11	ENSG00000015171	ZMYND11
ENSMUSG00000015478	Rnf5	ENSG00000204308	RNF5
ENSMUSG00000039901	Armh3	ENSG00000120029	ARMH3
ENSMUSG00000060147	Serpinb6a	ENSG00000124570	SERPINB6
ENSMUSG00000024767	Otub1	ENSG00000167770	OTUB1
ENSMUSG00000032299	Commd4	ENSG00000140365	COMMD4
ENSMUSG00000020988	L2hgdh	ENSG00000087299	L2HGDH
ENSMUSG00000003814	Calr	ENSG00000179218	CALR
ENSMUSG00000032353	Tmed3	ENSG00000166557	TMED3
ENSMUSG00000031103	Elf4	ENSG00000102034	ELF4
ENSMUSG00000074646	6430550D23Rik	ENSG00000125975	C20orf173
ENSMUSG00000045438	Cox19	ENSG00000240230	COX19
ENSMUSG00000025854	Fam20c	ENSG00000177706	FAM20C
ENSMUSG00000052656	Rnf103	ENSG00000239305	RNF103
ENSMUSG00000048058	Ldlrad3	ENSG00000179241	LDLRAD3
