GeneID_mouse	GeneSymbol_mouse	GeneID_macaque	GeneSymbol_macaque
ENSMUSG00000030965	Abraxas2	ENSMFAG00000035172	ABRAXAS2
ENSMUSG00000020358	Hnrnpab	ENSMFAG00000035188	HNRNPAB
ENSMUSG00000030105	Arl8b	ENSMFAG00000035233	ARL8B
ENSMUSG00000020393	Kremen1	ENSMFAG00000035109	KREMEN1
ENSMUSG00000022443	Myh9	ENSMFAG00000035156	MYH9
ENSMUSG00000074922	Fam122a	ENSMFAG00000035257	
ENSMUSG00000039765	Cc2d2a	ENSMFAG00000035103	CC2D2A
ENSMUSG00000027133	Nop10	ENSMFAG00000035229	NOP10
ENSMUSG00000070284	Gmppb	ENSMFAG00000035247	GMPPB
ENSMUSG00000037379	Spon2	ENSMFAG00000035173	SPON2
ENSMUSG00000051000	Fam160a1	ENSMFAG00000035212	FAM160A1
ENSMUSG00000069020	Urm1	ENSMFAG00000035214	
ENSMUSG00000020978	Klhdc2	ENSMFAG00000035256	KLHDC2
ENSMUSG00000020986	Sec23a	ENSMFAG00000035158	SEC23A
ENSMUSG00000038644	Pold1	ENSMFAG00000035104	POLD1
ENSMUSG00000005897	Nr2c1	ENSMFAG00000035305	
ENSMUSG00000019577	Pdk4	ENSMFAG00000035180	PDK4
ENSMUSG00000042429	Adora1	ENSMFAG00000035176	ADORA1
ENSMUSG00000038370	Pcp4l1	ENSMFAG00000035164	PCP4L1
ENSMUSG00000025608	Podxl	ENSMFAG00000035169	PODXL
ENSMUSG00000038764	Ptpn3	ENSMFAG00000035170	PTPN3
ENSMUSG00000017778	Cox7c	ENSMFAG00000035190	
ENSMUSG00000070372	Capza1	ENSMFAG00000035179	CAPZA1
ENSMUSG00000054509	Parp4	ENSMFAG00000035098	
ENSMUSG00000024235	Map3k8	ENSMFAG00000035171	
ENSMUSG00000074358	Ccdc61	ENSMFAG00000035042	CCDC61
ENSMUSG00000055200	Sertad3	ENSMFAG00000034796	SERTAD3
ENSMUSG00000028458	Tesk1	ENSMFAG00000034790	TESK1
ENSMUSG00000064225	Paqr9	ENSMFAG00000034764	PAQR9
ENSMUSG00000021115	Vrk1	ENSMFAG00000040460	VRK1
